hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
EE171MIY,1960,C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE,2eaf9a84f9abc51d7a0d42ddf9c72f9c,false,false,,,
EE171MIY,6052,C:\Windows\System32\RpcRtRemote.dll,a939c02229919b519fd4a168bba87a07,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,2016,C:\Windows\System32\P2PGraph.dll,5da468fb7ac7bb0e3199e26193ca94f9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3768,C:\Windows\System32\mswsock.dll,b0a22c1e0978efbd55589080e619e606,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,2876,C:\Windows\System32\gpapi.dll,64a9615576a4a483155ad690955fc8e5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,340,C:\Windows\System32\sxs.dll,708188cc28f96958b19c28bffa17fbc5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3601,C:\Users\noasimmon15\AppData\Local\Microsoft\OneDrive\OneDrive.exe,6a546b43b82beeb21263e2c1a84cc812,false,false,,,
EE171MIY,2264,C:\Windows\System32\bcrypt.dll,25caa8b393fb2251763335dd6a31aa5a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3969,C:\Program Files\McAfee\WebAdvisor\UIHost.exe,402381975fc01094e6263bfc8baeaa7f,false,false,,,
EE171MIY,884,C:\Windows\System32\clbcatq.dll,3d8abc1db7725f0c42b2211c056a4c9b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,2876,C:\Windows\System32\credssp.dll,e8c675c12dc62372e78fd8ac901049e9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
