hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
ES525NGM,2876,C:\ProgramData\Microsoft\Windows\Caches\cversions.2.db,d0ddee4db7b241f80a73272d4f64e4e0,true,false,The form specified for the subject is not one supported or known by the specified trust provider.,,
ES525NGM,3288,C:\Windows\System32\p2psvc.dll,7871fce8e19067498d09f59e6269d14f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES525NGM,2716,C:\Windows\System32\sechost.dll,5e0b05239f80aaa23aed39e6c610ae20,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES525NGM,5244,C:\Windows\System32\msvcrt.dll,14682e20b984ebc4491a20cefbe4c48c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES525NGM,4768,C:\Windows\System32\profapi.dll,de311a749b8d91a67b8a5972519698dd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES525NGM,5576,C:\Windows\System32\usp10.dll,786317ae64cbde5ba27461ea77f8f0ba,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES525NGM,3620,C:\Windows\System32\cryptsp.dll,859cdc6f07d0f0150ddb59a6a41ca9ba,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES525NGM,2052,C:\Windows\System32\rsaenh.dll,fb7884f498763747967ca425b9fe447c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES525NGM,2876,C:\Windows\System32\ActionCenter.dll,7c10c163a98380b907480e8c5f03be9a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES525NGM,5244,C:\ProgramData\Microsoft\Windows\Caches\cversions.2.db,d0ddee4db7b241f80a73272d4f64e4e0,true,false,The form specified for the subject is not one supported or known by the specified trust provider.,,
ES525NGM,5220,C:\Windows\System32\advapi32.dll,0b87fdc3a1b2e12226527cefbe4afcd3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES525NGM,4768,C:\Windows\System32\advapi32.dll,0b87fdc3a1b2e12226527cefbe4afcd3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES525NGM,2876,C:\Windows\System32\es.dll,084502a8ff28012ab16f33f1cdb6fd81,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
