hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
ET316GFN,2340,C:\Windows\System32\DXP.dll,ca390695d474a3a628aacf80e3faa1ea,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,6224,C:\Windows\System32\profapi.dll,de311a749b8d91a67b8a5972519698dd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,5788,C:\Windows\System32\authz.dll,2a61238707e723c3be87974ada1eec73,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,6236,C:\Windows\System32\advapi32.dll,d5c3ce2a0d52c7e41f2522e7f303c9bf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,1988,C:\Windows\System32\dhcpcsvc.dll,9d00e31a28bee87cc436445098b0f6cd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,1476,C:\Windows\System32\drttransport.dll,90e98227d2e4936334a4cc4a87084cda,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,2464,C:\Windows\System32\cryptsp.dll,bfe5e1b1368b3bcce662a3a8e54c5c57,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,400,C:\Program Files (x86)\Common Files\Microsoft Shared\Ink\TabTip32.exe,8898382df05c65d88559975945298669,false,false,,,
ET316GFN,6460,C:\Windows\System32\msctf.dll,7b28ddd4a0584ae07fb5d64c179f60d1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,172,C:\Windows\System32\ssdpapi.dll,0fce1977673c2f5c85a6435bb70c1ec7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,3708,C:\Windows\System32\ole32.dll,79e9ca37e9e152ce6bd2a18992464f5e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,3264,C:\Windows\System32\esent.dll,0f3e4358ff4513bd7943164ee56c3d5a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,3708,C:\Windows\System32\WindowsCodecs.dll,27db4270caadd662d74ba99db0d56047,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,2340,C:\Windows\System32\en-US\oleaccrc.dll.mui,46b30bb4b1019b040a1ed9fb576dd8c2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,1988,C:\Windows\System32\imm32.dll,ec32da1428da046333a2ef9cd151ea9e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,3228,C:\Program Files\TightVNC\tvnserver.exe,ac54d99b23e5fcc844ff83e047ee219b,false,false,,,
ET316GFN,1476,C:\Windows\System32\secur32.dll,d9fd41e57930925b48163f38ef45ce4a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,1988,C:\Windows\System32\locale.nls,4d196fdf8c70d12446c70cdbdc21138a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
