hostname,fullpath,filepath,drive,filename,fileextension,username
NS0007VZI,c:\Windows\SysWOW64\ie4uinit.exe,Windows\SysWOW64,c,ie4uinit.exe,exe,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\rasgcw.dll,Windows\System32,c,rasgcw.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\VBoxSF.sys,Windows\System32\drivers,c,VBoxSF.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\cdfs.sys,Windows\System32\drivers,c,cdfs.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\msmpeg2adec.dll,Windows\System32,c,msmpeg2adec.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\ieframe.dll,Windows\SysWOW64,c,ieframe.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\midimap.dll,Windows\System32,c,midimap.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\dsquery.dll,Windows\System32,c,dsquery.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\msctfui.dll,Windows\System32,c,msctfui.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\srv2.sys,Windows\System32\drivers,c,srv2.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\VIDRESZR.DLL,Windows\System32,c,VIDRESZR.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\hcw85cir.sys,Windows\System32\drivers,c,hcw85cir.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,C:\Windows\System32\oleaut32.dll,Windows\System32,C,oleaut32.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\fdWCN.dll,Windows\System32,c,fdWCN.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\sdohlp.dll,Windows\System32,c,sdohlp.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\VBICodec.ax,Windows\System32,c,VBICodec.ax,ax,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\msctf.dll,Windows\System32,c,msctf.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\IME\shared\IMETIP.DLL,Windows\System32\IME\shared,c,IMETIP.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\mfvdsp.dll,Windows\System32,c,mfvdsp.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\synccenter.dll,Windows\System32,c,synccenter.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\mssph.dll,Windows\System32,c,mssph.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wwanadvui.dll,Windows\System32,c,wwanadvui.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\structuredquery.dll,Windows\System32,c,structuredquery.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\tserrredir.dll,Windows\System32,c,tserrredir.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\ehome\ehkorime.dll,Windows\ehome,c,ehkorime.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\Wdf01000.sys,Windows\System32\drivers,c,Wdf01000.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\advancedinstallers\cmiv2.dll,Windows\System32\advancedinstallers,c,cmiv2.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\colbact.dll,Windows\System32,c,colbact.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\ehome\cbva.dll,Windows\ehome,c,cbva.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\vdsbas.dll,Windows\System32,c,vdsbas.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wscisvif.dll,Windows\System32,c,wscisvif.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\devicemetadataparsers.dll,Windows\System32,c,devicemetadataparsers.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\npmproxy.dll,Windows\System32,c,npmproxy.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\modem.sys,Windows\System32\drivers,c,modem.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\iepeers.dll,Windows\SysWOW64,c,iepeers.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\qedit.dll,Windows\SysWOW64,c,qedit.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\qdv.dll,Windows\SysWOW64,c,qdv.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\WsmSvc.dll,Windows\System32,c,WsmSvc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\mfdvdec.dll,Windows\System32,c,mfdvdec.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\chtbrkr.dll,Windows\System32,c,chtbrkr.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\rdpvideominiport.sys,Windows\System32\drivers,c,rdpvideominiport.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\l2nacp.dll,Windows\System32,c,l2nacp.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\LAPRXY.DLL,Windows\System32,c,LAPRXY.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\usbuhci.sys,Windows\System32\drivers,c,usbuhci.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\WMVENCOD.DLL,Windows\SysWOW64,c,WMVENCOD.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\fundisc.dll,Windows\SysWOW64,c,fundisc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\ndishc.dll,Windows\System32,c,ndishc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wbem\racwmiprov.dll,Windows\System32\wbem,c,racwmiprov.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wlandlg.dll,Windows\System32,c,wlandlg.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\srvsvc.dll,Windows\System32,c,srvsvc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wercplsupport.dll,Windows\System32,c,wercplsupport.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\nlaapi.dll,Windows\System32,c,nlaapi.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\wbem\wmiperfclass.dll,Windows\SysWOW64\wbem,c,wmiperfclass.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\nsisvc.dll,Windows\System32,c,nsisvc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\BrFiltLo.sys,Windows\System32\drivers,c,BrFiltLo.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\EncDec.dll,Windows\System32,c,EncDec.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\rasplap.dll,Windows\System32,c,rasplap.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\pla.dll,Windows\System32,c,pla.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\NcdProp.dll,Windows\System32,c,NcdProp.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,C:\Windows\SysWOW64\systempropertiesperformance.exe,Windows\SysWOW64,C,systempropertiesperformance.exe,exe,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\Mcx2Svc.dll,Windows\System32,c,Mcx2Svc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\VBICodec.ax,Windows\SysWOW64,c,VBICodec.ax,ax,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\bitsprx5.dll,Windows\System32,c,bitsprx5.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\iscsiexe.dll,Windows\System32,c,iscsiexe.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\ksecdd.sys,Windows\System32\drivers,c,ksecdd.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\p2psvc.dll,Windows\System32,c,p2psvc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\tspubwmi.dll,Windows\System32,c,tspubwmi.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\networkmap.dll,Windows\System32,c,networkmap.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\microsoft.net\framework64\v4.0.30319\WPF\PenIMC.dll,Windows\microsoft.net\framework64\v4.0.30319\WPF,c,PenIMC.dll,dll,NT AUTHORITY\SYSTEM
