hostname,fullpath,filepath,drive,filename,fileextension,username
NC546YHJ,c:\Windows\SysWOW64\windows.applicationmodel.dll,Windows\SysWOW64,c,windows.applicationmodel.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\sacdrv.sys,Windows\System32\drivers,c,sacdrv.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\portabledeviceclassextension.dll,Windows\SysWOW64,c,portabledeviceclassextension.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\windows.devices.printers.dll,Windows\System32,c,windows.devices.printers.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Program Files\McAfee\MPF\MpfSvcPS.dll,Program Files\McAfee\MPF,c,MpfSvcPS.dll,dll,BUILTIN\Administrators
NC546YHJ,c:\Windows\System32\rasmbmgr.dll,Windows\System32,c,rasmbmgr.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\Display.dll,Windows\System32,c,Display.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\inseng.dll,Windows\SysWOW64,c,inseng.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\propsys.dll,Windows\System32,c,propsys.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\rdpdr.sys,Windows\System32\drivers,c,rdpdr.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\uicom.dll,Windows\System32,c,uicom.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\photowiz.dll,Windows\System32,c,photowiz.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\mvumis.sys,Windows\System32\drivers,c,mvumis.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\LAPRXY.DLL,Windows\System32,c,LAPRXY.DLL,DLL,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\MbaeApi.dll,Windows\System32,c,MbaeApi.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\fdProxy.dll,Windows\System32,c,fdProxy.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\userinit.exe,Windows\System32,c,userinit.exe,exe,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\callbuttons.proxystub.dll,Windows\SysWOW64,c,callbuttons.proxystub.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\inputmethod\SHARED\chxuserdictds.dll,Windows\System32\inputmethod\SHARED,c,chxuserdictds.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wbem\wbemdisp.dll,Windows\System32\wbem,c,wbemdisp.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\mrxsmb10.sys,Windows\System32\drivers,c,mrxsmb10.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\playtomenu.dll,Windows\SysWOW64,c,playtomenu.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\SerCx2.sys,Windows\System32\drivers,c,SerCx2.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\appvclient.exe,Windows\System32,c,appvclient.exe,exe,NT AUTHORITY\SYSTEM
NC546YHJ,C:\Windows\System32\comdlg32.dll,Windows\System32,C,comdlg32.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\twinapi.dll,Windows\System32,c,twinapi.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\IME\SHARED\IMEAPIS.DLL,Windows\System32\IME\SHARED,c,IMEAPIS.DLL,DLL,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wbem\msiprov.dll,Windows\System32\wbem,c,msiprov.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\agentservice.exe,Windows\System32,c,agentservice.exe,exe,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\ppcsnap.dll,Windows\System32,c,ppcsnap.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\ksthunk.sys,Windows\System32\drivers,c,ksthunk.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\jscript9diag.dll,Windows\System32,c,jscript9diag.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\windows.staterepository.dll,Windows\SysWOW64,c,windows.staterepository.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\windows.immersiveshell.serviceprovider.dll,Windows\System32,c,windows.immersiveshell.serviceprovider.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\vedatalayerhelpers.dll,Windows\System32,c,vedatalayerhelpers.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\sbp2port.sys,Windows\System32\drivers,c,sbp2port.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wbem\stdprov.dll,Windows\System32\wbem,c,stdprov.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\windows.media.streaming.dll,Windows\System32,c,windows.media.streaming.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\cht4vx64.sys,Windows\System32\drivers,c,cht4vx64.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\cloudexperiencehost.dll,Windows\System32,c,cloudexperiencehost.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\wshext.dll,Windows\SysWOW64,c,wshext.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\xwtpw32.dll,Windows\System32,c,xwtpw32.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\microsoftaccountextension.dll,Windows\SysWOW64,c,microsoftaccountextension.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\msamrnbdecoder.dll,Windows\System32,c,msamrnbdecoder.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\fdPnp.dll,Windows\SysWOW64,c,fdPnp.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\Speech\SpeechUX\speechuxps.dll,Windows\SysWOW64\Speech\SpeechUX,c,speechuxps.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\MFWMAAEC.DLL,Windows\System32,c,MFWMAAEC.DLL,DLL,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\catsrv.dll,Windows\System32,c,catsrv.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\iasrecst.dll,Windows\System32,c,iasrecst.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\Pimstore.dll,Windows\System32,c,Pimstore.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\windowscodecsext.dll,Windows\System32,c,windowscodecsext.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\msrle32.dll,Windows\SysWOW64,c,msrle32.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\mfmpeg2srcsnk.dll,Windows\System32,c,mfmpeg2srcsnk.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\signdrv.dll,Windows\System32,c,signdrv.dll,dll,NT AUTHORITY\SYSTEM
